"or","de","Time","acm_id","sch_id"
"91326","322+LUCAS+AVELOS+ANGELES+CA+90017",2353,29,30
"91326","322+LUCAS+AVELOS+ANGELES+CA+90017",2353,29,31
"91326","322+LUCAS+AVELOS+ANGELES+CA+90017",2353,29,32
"91326","322+LUCAS+AVELOS+ANGELES+CA+90017",2353,29,33
"90007","147+E.+107th+Street+Los+Angeles+CA+90003",1007,160,1
"90007","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",1154,160,2
"90007","405+E+122nd+St+Los+Angeles+Ca+90061",1174,160,3
"90007","330+E.+93rd+St+Los+Angeles+CA+90003",1049,160,4
"90007","1575+W+2nd.+ST+Los+Angeles+CA+90026",840,160,5
"90007","1575+W+2nd.+ST+Los+Angeles+CA+90026",840,160,24
"90007","4410+McKinley+Ave+Los+Angeles+CA+90011",816,160,6
"90007","3500+S.+Hill+St.+Los+Angeles+CA+90007",372,160,8
"90007","1515+E.+104th+St.+Los+Angeles+CA+90002",1238,160,9
"90007","234+E+112TH+ST+LOS+ANGELES+CA+90061",972,160,10
"90007","2510+E.+Sixth+St.+Los+Angeles+CA+90023",751,160,11
"90007","1319+E+41st+St.+Los+Angeles+Ca+90011",784,160,12
"90007","1319+E+41st+St.+Los+Angeles+Ca+90011",784,160,19
"90007","650+S.+Union+Ave.+Los+Angeles+CA+90017",583,160,13
"90007","2265+E.+103rd+St+Los+Angeles+CA+90002",1354,160,14
"90007","325+E+111th+St+Los+Angeles+CA+90061",1088,160,15
"90007","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",517,160,16
"90007","1650+E.+104th+St.+Los+Angeles+CA+90002",1209,160,17
"90007","1200+Plaza+del+Sol+Los+Angeles+CA+90033",938,160,18
"90007","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",683,160,20
"90007","3201+W.+8th+St.+Los+Angeles+CA+90010",756,160,21
"90007","1700+W+46TH+ST+Los+Angeles+CA+90062",773,160,22
"90007","456+S+Mathews+St+Los+Angeles+CA+90033",773,160,23
"90007","1921+S+Maple+Ave.+Los+Angeles+CA+90011",419,160,25
"90007","725+S.+Indiana+St.+Los+Angeles+CA+90023",858,160,26
"90007","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",1014,160,27
"90007","144+E+118th+St+Los+Angeles+CA+90061",1076,160,28
"90007","1940+E+111TH+St.+LOS+ANGELES+CA+90059",1162,160,29
"90007","322+LUCAS+AVELOS+ANGELES+CA+90017",794,160,30
"90007","322+LUCAS+AVELOS+ANGELES+CA+90017",794,160,31
"90007","322+LUCAS+AVELOS+ANGELES+CA+90017",794,160,32
