acm_id,Full.Name,Home.Address,School.Address,School,Commute.Time,Mode,Stutus,Commute.Rank
8,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,1755,driving,OK,15
8,,,6550+S+Richmond+St+Chicago+IL+60629,Marquette School of Excellence,1811,driving,OK,16
8,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,1847,driving,OK,17
8,,,3615+West+16th+Street+Chicago+IL+60623,Dvorak School of Excellence,1927,driving,OK,18
8,,,32+E.+115th+Street+Chicago+IL+60628,Curtis School of Excellence,1935,driving,OK,19
8,,,3711+West+Douglas+Boulevard+Chicago+IL+60612,Herzl School of Excellence,2147,driving,OK,20
8,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,2401,driving,OK,21
8,,,4820+West+Walton+Chicago+IL+60651,McNair School of Excellence,2544,driving,OK,22
8,,,1040+N+Keeler+Ave+Chicago+IL+60651,Brian Piccolo Elementary School of Excellence,2599,driving,OK,23
8,,,720+North+Lorel+Avenue+Chicago+IL+60644,Howe School of Excellence,2776,driving,OK,24
8,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,3102,driving,OK,25
8,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,3186,driving,OK,26
9,,,6631+N+Bosworth+Ave+Chicago+IL+60626,Sullivan High School,1058,driving,OK,1
9,,,244+E.+Pershing+Road+Chicago+IL+60653,Wendell Phillips Academy,1749,driving,OK,2
9,,,4214+S.+Saint+Lawrence+Ave+Chicago+IL+60653,Fuller School of Excellence,1781,driving,OK,3
9,,,4343+West+Wrightwood+Chicago+IL+60639,Kelvyn Park High School,1818,driving,OK,4
9,,,3601+North+Milwaukee+Avenue+Chicago+IL+60641,Schurz High School,1862,driving,OK,5
9,,,2745+W+Roosevelt+Rd+Chicago+IL+60608,Chalmers School of Excellence,1918,driving,OK,6
9,,,1313+S+Sacramento+Dr+Chicago+IL+60623,Collins Academy High School,2040,driving,OK,7
9,,,936+East+54th+St+Chicago+IL+60615,Kozminski Elementary Community Academy,2098,driving,OK,8
9,,,1420+S.+Albany+Chicago+IL+60623,Johnson School of Excellence,2125,driving,OK,9
